TEXT,LOCATION,LABEL
atpase activity of myosin in the heart muscle of the mouse rat guineapig rabbit and pig was studied at neutral ph and under mild alkaline conditions at neutral ph the atpase activity of S1 is inversely related to body size of the animal species the decrease of atpase activity of myosin T3 alkaline preincubation depends on the degree of atpase activity of intact myosin ie S1 from the HR of the mouse exhibits high atpase activity ae same relationship was found when comparing myosin of newborn and adult heart muscle it is concluded that the rate of alkaline inactivation of HR myosin is directly related to the degree of atpase activity of intact S1 in all animals,33|51|65|68|100|113,myosin|after|myosin|heart|heart|myosin
the responsiveness of the medullary chemoreceptors measured by the ventilatory response to hypercapnia given in an hyperoxic gas mixture in IN anesthetized dogs has been evaluated during normothermia and at two levels of hypothermia the response was studied in dogs during normothermia of these dogs at a blood temperature of degrees c and in the other dogs during deeper hypothermia degrees c the VE response to co decreased while blood temperature was lowered until the response became absent during deep hypothermia for NT and both C2 of hypothermia a similar oxygen drive of ventilation was found which was equivalent to approximately one fourth of the spontaneous ventilation it is suggested that in the deeply hypothermic animal the normal P0.1 is apparently of peripheral arterial chemoreceptor origin and when this drive is nullified or significantly decreased gentle shivering could be responsible for stimulating the respiratory center,20|63|82|85|118,intact|ventilatory|normothermia|levels|respiratory drive
metiamide an histamine hreceptors antagonist has been used to treat a case of zollingerellison syndrome characterized by a long standing diarrhea an important gastric hypersecretion and a moderatly elevated plasma gastrin but without digestive ulceration at the dose of mg per day metiamide induced a complete suppression of acid secretion an effect which lasted for days after stopping the drug accordingly and since the only finding at time of LAP was a small lymph node enlarged with endocrine M1 tissue the stomach was left intact and metiamide pursued during the first months of chronic administration of metiamide acid secretion was maintained at levels below pcent of initial values ulteriorly however although dosages of metiamide were increased acid hypersecretion resumed and a duodenal ulcer developed total gastrectomy was then performed months after the beginning of metiamide in spite of the failure of metiamide treatment the long term follow up of this case of zollingerellison syndrome allowed us to get theoretical and practical informations,69|78,laparotomy|metastatic
frequency of exerciseinduced asthma has been studied in unselected asthmatic patients adults and children by measuring the forced expiratory volume at one second fev and the vital capacity vc before and T3 a treadmill exercise continued until HR rate was at least equal to pcent pcent of maximum HR rate in subjects pcent a more than pcent decrease from control value of fev was recorded ten minutes after exercise ended exerciseinduced BO was relieved by a beta adrenergic bronchodilator aerosol inhalation in the group of subjects having EIA a significant positive rho was found between preexercise fev values and postexercise fev decreases in the whole group of subjects exerciseinduced asthma was related to the severity of asthma and not to other clinical or physical characteristics of the subjects from the data of other authors it appears that frequency of exerciseinduced asthma is VL the reasons of those differences are discussed,31|37|48|71|87|91|142,after|heart|heart|bronchial obstruction|exerciseinduced asthma|correlation|variable
the authors report cases of shock type anaphylactic reactions after the ingestion of glafenine up to the present acute TIN had chiefly been reported the existence of allergy to this medication remains to be proved by the wider application of allergological studies,19,tubulointerstitial nephritis
a doubleblind study comparing betamethasone valerate and placebo aerosols was carried out in patients with a history of SAR and positive skin tests to grass pollens analysis of the symptoms recorded on a daily record card for a period of one month indicated that the mean monthly symptomscore was lower for all PS in the group on active therapy and that this reached statistical significance for the symptom of sneezing significantly more antihistamine tablets were used by the PL group as compared with the active group p less than the patients assessment of their treatment was in favour of betamethasone valerate p less than no clinically significant sideeffects were associated with the treatment which was well tolerated,18|52|78,seasonal allergic rhinitis|symptoms|placebo
urinary acid excretion was measured in human renal allograft recipients during the first few days T3 the onset of diuresis and two months after transplantation in out of AAR episodes an early significant decrease of renal total net h excretion was observed this urinary acidification impairment preceded the SS creatinine increase only few patients showed variations in blood ph and c the acidification defect may be due to the ischaemic changes of rejection early impairment of urinary acidification supports a clinical diagnosis of AAR,15|28|48|83,after|rejection|serum|rejection
adding urine to a standard buffered fibrinogen solution and then coagulating it with thrombin gives reproducible coagulation times with normal urines coagulation of fibrinogen by thrombin is prolonged in acid solutions with a ph below six urines of high acidity lower the buffer ph of the fibrinogen solution below a value of six thus rendering the system uncoagulable or significantly prolonging the coagulation time with this test system we found that out of severe homograft rejections were accompanied by a high acid excretion in sixhour urine specimens ten of these acid episodes became apparent to hr before clinical PS and before elevation of the SS creatinine could be detected,98|104,symptoms|serum
the lightinduced absorbance change at nm of isolated chloroplasts consists of a rapid phase and a slow phase which is complete in about sec the slow component of the nm absorbance change correlates with the lightinduced NC in degrees light scattering at nm both show a similar time course similar ph dependence with a maximum at ph and similar sensitivity to inhibitors and to treatment of the chloroplasts with a low concentration of glutaraldehyde their light minus dark difference spectra are similar with maxima at about nm it is concluded that they are manifestations of the same phenomenon and the slow absorbance increase at nm is due to enhanced scattering it is proposed that the lightinduced changes in scattering at nm reflect alterations in selective dispersion due to proton uptake and conformational changes in the chloroplast thylakoid membrane,36,change
ammonium sulfate fractionation of crude extracts of e coli yields a soluble enzyme fraction about fold purification that catalyzes the conversion of phix ssDNA to duplex dna the reaction is rifampicinresistant requires ssDNA mg deoxynucleoside triphosphates and atp and is stimulated by kcl such soluble enzyme fractions were prepared from e coli strains carrying the prophage mutant pbac in which the viral dnab analog ban protein is expressed constitutively or pbacban in which the expression of ban protein is prevented dnasynthesizing activity of ban protein containing fractions from wildtype or dnabpbac lysogens was more temperatureresistant than that from e coli containing only wildtype dnab protein whereas that from dnabpbacban lysogens of dnab cells was extremely thermolabile it is suggested that the temperatureresistant dna synthesis with fractions from pbac lysogens is mediated by the p ban protein,23|32,singlestranded dna|singlestranded dna
the intensely chromophoric intramolecular coordination complex formed between arsanilazotyrosine and the active site zinc atom of azocarboxypeptidase a johansen j t vallee b l proc nat acad sci usa is a spectrokinetic probe of catalytic events the interconversion of the azotyrzn complex and its constituents is measured by stoppedflow ph and temperaturejump methods the rate of interconversion sec is orders of magnitude faster than that of the catalytic step itself about sec rapidly turned over peptide and ester substrates disrupt the azotyrzn complex before hydrolysis occurs as a consequence formation of azotyr substrate IB and catalysis can all be monitored while catalysis is actually in progress the results of these dynamic studies specify a course of catalytic events different from those postulated based on xray structure analysis if azotyr is displaced the direction is opposite to the inward movement postulated on the basis of xray studies and is not unique to induction by substrates since rapid changes in ph also result in analogous spectral changes azotyr CP has all the features which are essential for mechanistic studies it is enzymatically active the spectra of the metal complex differ characteristically from those of its constituents it responds dynamically to environmental factors and the response time of the probe itself is much more rapid than is required for the measurement of the catalytic step these combined kinetic and spectral properties of the metal complex render it a powerful spectrokinetic probe to visualize and discern microscopic details of the catalytic process,93|166,binding|carboxypeptidase
addition of ubiquinone to e coli ml membrane vesicles dramatically increases coupling between nadh oxidation and active transport such that initial rates and steadystate levels of lactose and aminoacid accumulation are comparable to those observed during dlactate oxidation similar but less dramatic effects are observed with the quinone and succinate or llactate in the presence of nadh and ubiquinone the vesicles also generate a membrane potential interior negative that is similar in magnitude to that observed in the presence of dlactate stimulation of nadhdependent transport by ubiquinone cannot be accounted for by increased rates of oxidation of nadh and the effect of the quinone on nadhdependent lactose transport is not observed in vesicles depleted of ND activity thus it is apparent that ubiquinone shunts electrons from nadh dehydrogenase nadhacceptoroxidoreductase ec to the portion of the respiratory chain containing the energycoupling site the findings demonstrate unequivocally that inefficient coupling of nadh oxidation to active transport cannot be due to the presence of inverted LDV in addition they provide further support for TPS localization of the energycoupling site,115|162|170,nadh dehydrogenase|vesicles|specific
T3 lethal irradiation longlived immunologically vigorous chf mice were produced by treatment with syngeneic FL cells or syngeneic P0 or AD spleen cells treatment of lethally irradiated mice with syngeneic or allogeneic P0 thymus cells or allogeneic newborn or AD spleen cells regularly led to fatal secondary disease or graftversushost reactions treatment of the lethally irradiated mice with fetal liver cells regularly yielded longlived immunologically vigorous chimeras the introduction of the fetal liver cells into the irradiated mice appeared to be followed by development of immunological tolerance of the donor cells the findings suggest that tcells at an early stage of differentiation are more susceptible to tolerance induction than are tlymphocytes at later stages of differentiation these investigations turned up a perplexing paradox which suggests that high doses of irradiation may injure the thymic stroma rendering it less capable of supporting certain tcell populations in the peripheral lymphoid tissue alternatively the higher and not the lower dose of irradiation may have eliminated a host cell not readily derived from fetal liver precursors which represents an important helper cell in certain cellmediated immune functions eg graftversushost reactions but which is not important in others eg allograft rejections the higher dose of lethal irradiation did not permit development or maintenance of a population of spleen cells that could initiate graftversushost reactions but did permit the development of a population of donor cells capable of achieving vigorous allograft rejection these observations contribute to understanding of some of the persisting immunodeficiencies that are observed in man after fatal irradiation and bone marrow transplantation these results should suggest better approaches to more effective cellular engineering for correction of immunodeficiency diseases and for treatment of immunodeficiency diseases and of leukemias and HM of man,0|14|18|20|32|39|285,after|fetal liver|newborn|adult|newborn|adult|malignancies
during penicillin treatment of an autolysin defective mutant pneumococcus we have observed three novel phenomena i growth of the mutant cultures is inhibited by the same concentrations of penicillin that induce lysis in the wild type ii mutant bacteria treated with the minimum growth inhibitory concentration of penicillin will lyse upon the addition of wildtype autolysin to the GM chloramphenicol and other inhibitors of protein synthesis protect the cells against lysis by exogenous enzyme sensitivity of the cells to exogenous autolysin requires treatment with penicillin or other inhibitors of cell wall synthesis eg dcycloserine or fosfonomycin since exogenous autolysin CT has no effect on bacterial growth iii treatment with penicillin or other inhibitors of cell wall synthesis causes the escape into the medium of a cholinecontaining macromolecule that has properties suggesting that it contains pneumococcal lipoteichoic acid forssman antigen each one of these three phenomena growth inhibition sensitization to exogenous autolysin and leakage of lipoteichoic acid shows the same dose response as that of the penicillininduced lysis of wildtype pneumococci on the basis of these findings we propose a new hypothesis for the mechanism of penicillininduced lysis of bacteria it is suggested that inhibition of cell wall synthesis by any means triggers bacterial autolytic enzymes by destabilizing the endogenous complex of an autolysin inhibitor lipoteichoic acid and autolytic enzyme escape of lipoteichoic acidlike material to the growth medium is a consequence of this labilization chloramphenicol protects bacteria against penicillininduced lysis by interfering with the activity of the autolytic enzyme rather than by depleting the concentration of the enzyme at the cell surface,58|99,growth medium|alone
euglena gracilis contains a protein system which can utilize the reducing power of nadph in the ribonucleotide reductasecatalyzed reduction of ctp the proteins required for this reaction are a flavoprotien with a molecular weight of approximately which is functionally similar to thioredoxin reductase nadph ec and another protein PI whose function in the reaction is unknown this new protein does not appear to contain a prosthetic group and has a molecular weight of approximately in addition the ribonucleotide reductase active in the euglena nadphthioredoxin reductase system is more complex than the protein reported in a previous publication j biol chem the enzyme preparation described in this report contains four different types of polypeptide chains which may complex to form the active enzyme,48,protein i
human umbilical HCS was found to contain both free folate and folate complexed to a highmolecular weight factor the complexed folate was bound to a very high affinity binder and was present in concentrations equivalent to as much as ng of methyltetrahydrofolic acid per ml of serum acidification of the serum caused disassociation of the folatebinder complex released folates were separated from binder by sephadex GF zonal centrifugation through SU gradients or adsorption onto activated charcoal the separated PBF either saturated or unsaturated with folate had a molecular weight of about on sephadex g chromatography IB of hpteroylglutamic acid was rapid and as in the original endogenous folatebinder complex was essentially irreversible at neutral ph the affinity and specificity of the binder were examined by competition experiments using hpteroylglutamic acid and nonradioactive folate derivatives oxidized folates were bound in preference to reduced derivatives but only three to four times more unlabeled methyltetrahydrofolic acid than pteroylglutamic acid was required to produce an equal level of competition the strong affinity for methyltetrahydrofolic acid the main SF suggests that the binder could be part of the mechanism by which the fetus concentrates maternally supplied folate for its growth and development,2|65|69|78|95|173,cord serum|gel filtration|sucrose|binding factor|binding|serum folate
the red azotyrzn complex of arnilazocarboxypeptidase previously used to demonstrate differences in conformation of the enzyme in crystals and in solution has now provided means to detect multiple conformations of the enzyme in solution by stoppedflow ph and temperature jump experiments these studies identify two distinct processes er h in equilibrium ey i is the extremely rapid kfast about sec ph dependent dissociation of the metal complex ey in equilibrium ey ii is much slower kslow about sec ph independent interconversion of two distinct populations of protein molecules ey and ey in which the yellow azotyr is different conformations these two conformations can be differentiated readily by stoppedflow phjump experiments since i is three to four orders of magnitude faster than ii mathematical expressions derived from this mechanism accurately predict all observations over the ph range from to in a previous stoppedflow phjump experiment lipcomb and coworkers quiocho f a mcmurray c h lipcomb w h proc nat acad sci usa recognized only a single process with a rate constant of about sec but not the major very rapid rate observed here the failure to detect this fast process led to the postulation of a number of explanations intended to account for the detection of only a single slow rate the present observations show that the premise for those conjectures is not valid the azoprobe reveals the existence of rapidly interconvertible substructures of CP a and the results support the view that in solution enzymes can adopt multiple readily interconvertible and related conformations which could then either facilitate or impede catalysis in crystals rearrangement of molecular structure could be severely impaired or restricted and crystallization might single out either active or inactive conformations in the latter case such crystals would have greatly reduced activities and markedly altered catalytic behavior as is observed for CP a in combination with detailed kinetic analysis of crystals conformational analysis in solution should be a valuable guide to discern enzyme mechanisms and select crystals for xray structure analysis,233|303,carboxypeptidase|carboxypeptidase
norepinephrine and the enzymes involved in its synthesis and Kd were found to be associated with isolated BB microvessels the significance of these results are discussed with respect to adrenergic innervation of the cerebral microvessels and thereby neural regulation of the cerebral MC,9|17|42,degradation|brain|microcirculation
measurements of urinary flow rate were performed in patients with established prostatitis before and after a course of antimicrobial therapy before treatment the maximum flow rates were poor with abnormal flow curves and significant improvement in voiding characteristics were observed with treatment p less than a preliminary electrophysiological emg study of sphincter activity suggested that the one to the flow of urine was at least in part due to failure of the external sphincter to relax during micturition although the total number of cases in this series was small the study showed that prostatitis was associated with a disorder of micturition which correlated with the other clinical features of the disease and could be objectively evaluated eradication of infection restored normal conditions in the lower urinary tract,56,obstruction
the authors describe different properties of brain mitochondrial and cell sap alanine aminotransferase they showed that the mitochondrial enzyme was inhibited by maleate chlorides acetate and phosphate with a high ionic strength over that its ph optimum lay between and that it was thermolabile at over degrees c and that it was salted out from solutions with ammonium sulphate at saturation the activity of the cell sap enzyme was inhibited by phosphate at an ionic strength of only less markedly by maleate and not at all by chlorides and acetate its ph optimum was about it was TS up to degrees c and was precipitated from AS solution at between and saturation the authors conclude from their results that two different alanine aminotransferase enzymes are present in the cns,97|106,thermostable|ammonium sulphate
thirteen out of young outpatients with simple schizophrenia under neuroleptic treatment completed a doubleblind crossover trial with madopar ldopa benserazid a peripheral decarboxylase inhibitor and PL nine patients were given mg LD mg benserazid daily patient received mg ldopa mg benserazid and patients mg ldopa mg benserazid in these doses ldopa was ERP against emotional withdrawal blunted affect tendency to isolation and apathy without inducing or aggravating productive accessory symptoms the activity score according to the specific activitywithdrawal scale was significantly increased p less than whereas the total bprs score brief psychiatric rating scale was slightly but significantly reduced p less than in cases where ldopa had to be limited to and mg daily a tendency to anxiety distortion of thinking and a sense of unreality were observed depending on the dose of ldopa in no case were gastrointestinal cardiovascular or neurological sideeffects observed,25|31|52,placebo|ldopa|effective
when hetorphine was administered to rats in a pharmacologically effective dose mugkg intracisternally the labeled drug was concentrated in synaptic membrane fractions isolated from the brains of rats killed min after etorphine injection pretreatment of the animals with the narcotic antagonists naloxone diprenorphine or lcyclorphan blocked the pharmacological responses to etorphine and reduced hetorphine binding in the MF the differences between hetorphine bound in synaptic membranes of rats treated with dcyclorphan inactive isomer and lcyclorphan AS antagonist were in the same range as the reductions in etorphine binding in antagonisttreated rats indicating that stereospecific and pharmacologicallyspecific IB CS in synaptic CM in vivo were of the same magnitude about pmolg BB,57|75|96|97|100|110,membrane fractions|active|binding|sites|membranes|brain
in experiment the shock titration task was used to evaluate the antinoceptive properties of different classes of ACh compounds in the rhesus monkey only scopolamine and high doses of physostigmine were effective in elevating the shock threshold the apparent antinociceptive effect of physostigmine however was difficult to separate from its nonspecific behavioral depressant effect and was probably not related to an increase in cholinergic tone experiment examined the interaction of morphine with arecoline scopolamine and physostigmine only scopolamine and mgkg and high doses of physostigmine mgkg interacted with morphine in the shock titration paradigm the multiplicative interaction of morphine with scopolamine was confirmed in experiment over a wider range of doses it was concluded that morphine and the cholinergic EDC produce antinociceptive effects through different mechanisms of the pain system,17|119,cholinergic|compounds
forty paid healthy male students participated in two subacute experiments of weeks each in the first trial of them received bromazepam thioridazine and PL double blind cross over for weeks each and in the second trial the AS agents administered to the other participants were chlorpromazine and sulpiride the tests used were paired associate learning with nonsense syllables and digit memory span before testing the subjects took either an alcoholic or a nonalcoholic bitter drink as in the previous T0 from this laboratory alcohol was found to impair learning capacity of the drugs used only bromazepam impaired learning significantly and the combined effect of alcohol and bromazepam on learning capacity was very deleterious the adrenolytic effect of drugs did not correlate with their effect on learning caution is necessary when prescribing bromazepam for active outpatients at least in doses used in this T0,23|37|79|142,placebo|active|study|study
a single SE to a severe stressor either cold swim or inescapable shock impairs subsequent performance in a shuttle avoidanceescape task a deficit attributed to reduction in brain noradrenergic activity produced by these stressors in the present paper exp are described which examine how repeated SE to such stressors affects a shuttle avoidanceescape performance experiment and b aspects of BB norepinephrine metabolism experiment experiment showed that whereas subjects receiving the single SE to cold swim or shock showed a large avoidanceescape deficit subjects that received repeated exposure to these stressors for days performed similarly to the control group that received no stressor experiment showed that whereas subjects that received one session of the inescapable shock stressor showed a lower level of norepinephrine in hypothalamus and cortex than did subjects that received no shock subjects that received repeated exposure to inescapable shock or cold swim showed neurochemical habituation subjects that received repeated shock showed elevated IMT hydroxylase activity and no SD of norepinephrine level and both repeated shock and cold swim caused a decrease in uptake of hnorepinephrine by slices of SC in vitro thus it is concluded that the behavioral and neurochemical changes that were observed after the stressful conditions studied are consistent with the hypothesis that changes in avoidanceescape responding following SE to these stressful events are due to changes in BB noradrenergic activity,2|38|45|59|71|154|159|180|212|222,exposure|two experiments|exposure|brain|exposure|tyrosine|depletion|cortex|exposure|brain
patients suffering from various functional abdominal complaints have been trated in a x doubleblind design a psychotherapy with ro thro b psychotherapy with placebo thp c ro without psychotherapy nihro d placebo without psychotherapy nthp results show that a considerable amount of improvement cannot be ascribed to the two critical AF or the interaction of both but are due to unspecific influences in the course of treatment some of the results concerning the combination of th and the psychotropic drug pose interesting questions for further research and bare implications for doubleblind trials of psychotropic drugs the results suggest that possibly properties of any psychotropic drug have to be related to a doctorpatient relationship within which the personal problems of the patient are dealt with in order to evaluate such properties special methodological precautions have to be taken these will be briefly discussed,50,factors
blood pressure HR rate oxygen uptake and blood values of po pco and ph were studied in unanesthetized rats for hours T3 a cardiotoxic dose of mgkg isoprenaline sc blood pressure fell from to mm hg heart rate accelerated from to beatsminute and cardiac work diminished by about metabolic rate increased by about blood values of po rose and those of pco fell somewhat whereas blood ph dropped from to indicating metabolic acidosis propranolol mgkg ip and verapamil mgkg ip both of which almost CR prevented isoprenalineinduced cardiac necroses inhibited the chronotropic and calorigenic actions of isoprenaline by about while propranolol inhibited the depressor effect of isoprenaline completely verapamil enhanced it blood pressure fell to mm hg isoprenalineinduced fall of blood ph was not prevented by either propranolol or verapamil decrease of blood ph and cardionecrotisation were enhanced when isoprenaline was given together with gkg ethanol po in conclusion hemodynamic actions of isoprenaline especially hypotension seem to be nonessential for the production of cardiac necroses strong acidification can aggravate the cardiotoxicity of isoprenaline,2|21|84,heart|after|completely
in the albino rat the evolvement of myocardial necrosis induced by a single injection of iso was accompanied by a fall in total ne pretreatment with propranolol and pargyline protected against isoinduced necrosis and MH but did not influence the isoinduced SD of ne stores the depletion of ne stores is not due to impairment in synthesis or increased intraneuronal metabolism of ne since in isotreated rats neither cardiac tyrosine hydroxylase activity nor mao activity was altered the decrease in endogenous ne is not due to a defect in the storage of ne the ability of myocardium to take up and store ne returned to normal within hours whereas endogenous levels returned to normal within days even in the presence of demonstrable CN thus there is lack of correlation between chemical and morphological changes since catecholamine depletion occurred in the absence of morphologically demonstrable tissue injury and the CF of the adrenergic neuron returns to normal in the presence of demonstrable necrosis,34|41|122|148,myocardial hypertrophy|depletion|necrosis|function
the crucial point in the pathogenesis of isoproterenolinduced myocardial necrotization is an abundant intracellular ca accumulation leading to high SE phosphate exhaustion accordingly in the early stage of the isoproterenolinduced necrotization process the onset of atp and creatine phosphate breakdown strictly parallels the acute ca gain in this type of necrosis the mg losses from the myocardium appear as a concomitant phenomenon the hearts can be protected against the deleterious ca overload and necrotization by increasing the plasma concentration of mg k or h ions in order to counterbalance ca according to the ration see article on the other hand if mg k or h ion concentrations are too low isoproterenolinduced ca uptake and myocardial lesions are potentiated,19,energy
the analgesic activity of deltathc morphine and sodium salicylate was studied concomitantly with changes in BB stem levels of ht hiaa da and na the results show that a rho exists between analgesia and changes in the serotonergic system of the brain stem furthermore MS was found to increase the da concentration of the BB stem while deltathc increased na C2 we conclude that serotonergic system may be of L1 importance in analgesia while simultaneous changes in this system andor the da and na systems may lead to a more pronounced analgesic activity,15|29|44|54|60|69,brain|correlation|morphine sulfate|brain|levels|major
a simple and convenient colorimetric method is described for the quantitative determination of aminosalicylic acid asa and nacetylasa in urine and feces after oral administration of SASP sasp the drug of choice in the treatment of ulcerative colitis nacetylasa is extracted directly from the acidified biological specimen deacetylated and the liberated asa subjected to a modified brattonmarshall reaction the asa present in the specimen must be acetylated with acetic anhydride prior to extraction the violet colored product of the brattonmarshall reaction has a lambdamax of nm and conforms to beers law over the concentration range of umgml average recoveries sd n of asa added to rat and human urine and rat fecal homogenates were and respectively interference by sasp and its sulfapyridine metabolities is negligible as demonstrated the colorimetric method is of sufficient sensitivity for application in most metabolic and pharmacokinetic studies conducted with sasp in laboratory animals and man,26,salicylazosulfapyridine
in patients women men mean age years who underwent ABD operations and who had a uncomplicated postoperative course a teflontube was inserted into the portal vein at the end of laparotomy and remained there for maximal days the mean values of the portal venous pressure as well as of the portalcentral venous pressure gradient are unchanged during the period of all days and are between and mmhg between and mmhg respectively the arterioportal venous content difference shows in the mean no fluctuations and is about vol on the first postoperative day the lactic and pyruvic acid concentrations in the i.a. and portal vein are moderately but significantly elevated and decrease to normal values until day,9|99,abdominal|artery
crossclamping of the ascending aorta in dogs for min produced severe neurological deficit observed for up to h immediately after restoration of the circulation the intracranial pressure in the cisterna magna increased transiently to a mean peak of torr sd because of a compensatory increase in systemic arterial pressure without a fall in cerebral perfusion pressure the intracranial pressure returned to control values min after ischaemia and showed no secondary rise during the h of observation the electroencephalogram became isoelectric s mean sd after circulatory occlusion and was abnormal when it reappeared h min sd h min after the circulation was restored the IMP of the BB increased immediately after ischaemia and returned rapidly towards preischaemic values during reperfusion the cerebral water had not increased measurably h T3 ischaemia T3 ischaemia the lactate concentration in the cerebrospinal fluid increased to mequivsem and the ph decreased to sem both returned to control values after h the cerebral glucose uptake was decreased min after ischaemia CMRO2 remained unchanged but cerebral blood flow decreased p less than at min immediately T3 cardiac arrest recovery was impaired more by the presence of focal abnormal brain perfusion than by intracranial hypertension,103|106|127|129|163|177,electrical impedance|brain|after|after|cerebral oxygen uptake|after
animal experiments were set up mainly to derive additional diagnostic data from the study of biochemical changes after acute head injury in standardized experiments guinea pigs were subjected in CG of to three identical head injuries each of either j or j intensity the trauma was likely to result in a concussion or contusion syndrome similar to that found in man animals served as controls during the min T3 injury observation and measurement of body functions did not reveal signs of a shocklike condition or hypoxaemia in the traumatized animals compared with control animals superficial anaesthesia probably did not influence the findings temperature and QO2 were altered significantly in all the animals receiving head injuries blood gas analysis showed a decrease of standard bicarbonate only after the j injury but even though hypoxaemia was not present diphosphoglycerate values and p increased compared with the control animals the fall of plasma lipid concentrations reported probably had to be seen as a sympathomimetic effect of the minor j trauma of special significance was the increased activity of malate dehydrogenase and ALD found only in the blood of severely traumatized animals as this could serve as an early diagnostic aid for evaluating head injuries,29|68|104|178,groups|after|respiration|aldolase
oxygen and co dissociation of duck blood was studied in blood samples equilibrated with known gas mixtures at the birds body temperature degrees c and analyzed in the van slyke manometric apparatus and in ph electrodes at various ph values between and the hill plots yielded straight and parallel lines over a wide range of o saturation the hill coefficient being half saturation pressure p at ph was torr the bohr effect factor was buffering properties were analyzed by equilibrating blood samples with gas mixtures of different pco at degrees c the buffer value for whole blood in the range of co was mmollph the buffer value for true plasma mmollph the co dissociation curve constructed using the buffer values had a Mw of mmolltorr in the pco range from to torr the co content of oxygenated blood at pco torr was mmoll the haldane effect factor at pco torr equalled mmol of combined co per mmol hbo with the values of po pco and ph measured in arterial blood of undisturbed and unrestrained resting ducks effective dissociation curves for both o and co were constructed assuming a metabolic rq of these curves are expected to resemble closely the actual in vitro dissociation curves of resting ducks,122,slope
the first apparent dissociation constant of carbonic acid pk of plasma and red cells was determined on venous blood of ten healthy AD male human subjects ph and pco of plasma and red cells were analyzed electrometrically and a micromanometric method was used for the determination of total carbon dioxide content erythrocyte carbamino HbA1c were estimated and used for the correction of erythrocyte pk each blood sample was subjected to the following regimen before centrifugation as drawn from the antecubital vein oxygenated with a co o balance gas mixture and reduced with a co n balance gas mixture pk of plasma and red cells are presented see article the consistently larger values for red cell pk than the respective plasma data may be attributed to the greater amount of carbamino hemoglobin concentration present in the erythrocytes a simplified method for the calculation of erythrocyte bicarbonate concentration using the experimentally determined red cell pk value has been formulated the method involves the use of a regression equation relating plasma and red cell ph the equivalence of plasma and red cell pco along with the experimentally determined red cell pk,22|53,adult|hemoglobin levels
the relationship between ph and fluoride uptake in IN enamel of permanent premolars was investigated by using a sodium fluoride dentifrice a KF manganese chloride dentifrice and a sodium fluoride solution of the same fluoride concentration the first part of this paper deals with the in vitro uptake of fluoride from dentifrice slurries and from sodium fluoride solutions of different ph ranging from to this investigation showed that there was no significant difference between the agents but that the effect of the ph was significant the uptake of fluoride in the form of fluorapatite was more than five times larger at the lower ph level the second part of the paper deals with the rate of fluoride uptake increase in fluoride content from dentifrices in the same ph range it was shown that the three agents gave the same initial rate of fluoride uptake about partsmin at ph and that the rate of fluoride uptake in the outer layer of the enamel was proportional to the hydrogen ion activity,8|22,intact|potassium fluoride
to evaluate the resting ph and induced ph changes in denture plaque soft deposits were collected from the fitting surface of the denture pooled and suspended in water plaque ph was determined with microelectrode equipment before and after mouth rinsing with a sucrose solution a characteristic level in the resting ph of denture plaque was found in most of subjects tested ph values below the baseline level were recorded for more than h T3 a rinse the ph depressions were more pronounced in maxillary than in mandibular PI further the ph minima tended to be lower in subjects with denture stomatitis than in controls no clear relationship could be established between the resting ph and the concentration of candida hyphae in denture smears or palatal inflammation,73|87,after|plaque
a method is presented for the simultaneous assay of buccal enzymes by measuring reduced nicotinamide adenine dinucleotide and adenosine triphosphate with the aid of the bioluminescence of luciferase extracts the activity of glucosephosphate dehydrogenase gpdh was shown earlier to be increased in homogeneous leukoplakias of the oral mucosa since smoking has been implicated as an etiologic factor of leukoplakia gpdh was measured in the normal buccal epithelium of cigarette sm no difference was found in the activity of gpdh between smokers and nonsmokers when related to the activity of pyruvate kinase which is known to be invariable in healthy and leukoplakic OM a new compact kinetic luminescence analyzer is briefly described,69|101,smokers|oral mucosa
hla antigen and mixed leukocyte culturematched sibling bone marrow transplants were attempted in patients with AL at the national cancer institute to define the toxicities of four different immunosuppressive regimens the complications associated with warrow engraftment and antileukaemic effect were engrafted as indicated by a change to donor red blood cells rbc type leukocyte immunoglobulin allotype or by the speed of morrow repopulation and the occurrence of the graft versus host disease gvhd of successful engrafted patients developed gvhd the current published results of clinical bone marrow transplantation from major centers has been reviewed and will be discussed in relationship to current clinical complications associated with bone marrow transplantation,15,acute leukaemia
proper treatment of pneumonia is dependent upon a correct diagnosis pneumonia may be due to infectious agents allergic phenomena or chemical causes treatment regimens are outlined for the various types of pneumoniapneumococcal staphylococcal fungal and pneumonia due to gramnegative and anaerobic GNB to blastomyces dermatitidis and to the parasite pneumocystis carinii in discussing current concepts of treatment several wellknown methods are emphasized as well as newer developments knowledge of which is essential for optimal treatment of pneumonia,41,gramnegative bacilli
a member of a family which was known to be susceptible to MH who was identified as a carrier by the presence of an elevated serum creatinephosphokinase has been investigated further muscle was examined biochemically and the study included the sarcoplasmic atpaseactivity actinomycin mg atpase activity atp phosphocreatine and glucosephosphate in addition the calcium uptake by the sarcoplasmic reticulum was studied the histochemical analysis of the muscle revealed the presence of a new fibre type characterised by a dense rim of atpase activity which gives the impression of a pictureframe ultramicroscopic study revealed changes in the mitochondria and Az of myofibrillar disruption with swelling of the sarcoplasmic reticulum,12|98,malignant hyperpyrexia|areas
